# Copyright (C) 2018  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 18.1.0 Build 625 09/12/2018 SJ Standard Edition
# File: /home/s2162520/test/DE10_JIWY_PINOUT.csv
# Generated on: Mon Apr 29 17:49:38 2024

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
HPS_DDR3_DQ[23],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[24],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[25],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[26],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[27],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[28],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[29],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[30],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[31],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_ODT,Unknown,,,,,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_RAS_N,Unknown,,,,,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_RESET_N,Unknown,,,,,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_RZQ,Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_WE_N,Unknown,,,,,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_ENET_GTX_CLK,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_ENET_INT_N,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_ENET_MDC,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_ENET_MDIO,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_ENET_RX_CLK,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_ENET_RX_DATA[0],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_ENET_RX_DATA[1],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_ENET_RX_DATA[2],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_ENET_RX_DATA[3],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_ENET_RX_DV,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_ENET_TX_DATA[0],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_ENET_TX_DATA[1],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_ENET_TX_DATA[2],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_ENET_TX_DATA[3],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_ENET_TX_EN,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_GSENSOR_INT,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_I2C0_SCLK,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_I2C0_SDAT,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_I2C1_SCLK,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_I2C1_SDAT,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_KEY,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_LED,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_LTC_GPIO,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_SD_CLK,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_SD_CMD,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_SD_DATA[0],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_SD_DATA[1],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_SD_DATA[2],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_SD_DATA[3],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_SPIM_CLK,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_SPIM_MISO,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_SPIM_MOSI,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_SPIM_SS,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_UART_RX,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_UART_TX,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_USB_CLKOUT,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_USB_DATA[0],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_USB_DATA[1],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_USB_DATA[2],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
